"PLATFORM","RELEASE_YEAR","TITLE","RATING_VALUE"
"Disney+",1922,"Robin Hood",58
"Disney+",1923,"The Hunchback of Notre Dame",60
"Disney+",1928,"Steamboat Willie",64
"Disney+",1932,"Flowers and Trees",56
"Disney+",1933,"Three Little Pigs",62
"Disney+",1934,"Babes in Toyland",60
"Disney+",1935,"The Band Concert",59
"Disney+",1936,"Thru the Mirror",54
"Disney+",1937,"Snow White and the Seven Dwarfs",78
"Disney+",1938,"Mickey's Trailer",58
"Disney+",1939,"Gulliver's Travels",57
"Disney+",1940,"Fantasia",76
"Disney+",1941,"Dumbo",75
"Disney+",1942,"Bambi",76
"Disney+",1943,"Donald's Tire Trouble",47
"Disney+",1944,"The Three Caballeros",64
"Disney+",1946,"A Knight for a Day",51
"Disney+",1947,"Fun and Fancy Free",62
"Disney+",1948,"Melody Time",69
"Disney+",1949,"The Adventures of Ichabod and Mr. Toad",65
"Disney+",1950,"Treasure Island",61
"Disney+",1951,"Alice in Wonderland",77
"Disney+",1952,"The Story of Robin Hood and His Merrie Men",56
"Disney+",1953,"Peter Pan",76
"Disney+",1954,"20,000 Leagues Under the Sea",69
"Disney+",1955,"Lady and the Tramp",76
"Disney+",1956,"Davy Crockett and the River Pirates",53
"Disney+",1957,"Old Yeller",65
"Disney+",1958,"The Sign of Zorro",43
"Disney+",1959,"Sleeping Beauty",75
"Disney+",1960,"Pollyanna",63
"Disney+",1961,"One Hundred and One Dalmatians",76
"Disney+",1962,"Almost Angels",49
"Disney+",1963,"The Sword in the Stone",74
"Disney+",1964,"Mary Poppins",96
"Disney+",1965,"The Sound of Music",80
"Disney+",1966,"The Ugly Dachshund",57
"Disney+",1967,"The Happiest Millionaire",58
"Disney+",1968,"The Love Bug",63
"Disney+",1969,"Hello, Dolly!",66
"Disney+",1970,"The Aristocats",75
"Disney+",1971,"Bedknobs and Broomsticks",68
"Disney+",1972,"Snowball Express",54
"Disney+",1974,"Herbie Rides Again",57
"Disney+",1975,"Escape to Witch Mountain",61
"Disney+",1976,"The Shaggy D.A.",54
"Disney+",1977,"Star Wars: A New Hope",89
"Disney+",1978,"The Cat from Outer Space",68
"Disney+",1979,"The Muppet Movie",71
