"PLATFORM","TITLE","RELEASE_YEAR","RATING_VALUE"
"Disney+","Mary Poppins",1964,96
"Disney+","Avengers: Endgame",2019,90
"Disney+","Avengers: Infinity War",2018,90
"Disney+","Guardians of the Galaxy",2014,89
"Disney+","Soul",2020,89
"Disney+","Star Wars: A New Hope",1977,89
"Disney+","Star Wars: The Empire Strikes Back",1980,89
"Disney+","The Lion King",1994,89
"Disney+","The Avengers",2012,88
"Disney+","The Many Adventures of Winnie the Pooh",1977,88
"Hulu","The Dark Knight",2008,94
"Hulu","Minding the Gap",2018,90
"Hulu","Batman Begins",2005,88
"Hulu","Parasite",2019,88
"Hulu","Catch Me If You Can",2002,87
"Hulu","Gone Girl",2014,87
"Hulu","The Terminator",1984,87
"Hulu","Arrival",2016,86
"Hulu","Prisoners",2013,86
"Hulu","12 Years a Slave",2013,85
"Netflix","The Irishman",2019,98
"Netflix","Dangal",2016,97
"Netflix","David Attenborough: A Life on Our Planet",2020,95
"Netflix","Lagaan: Once Upon a Time in India",2001,94
"Netflix","Roma",2018,94
"Netflix","To All the Boys I've Loved Before",2018,94
"Netflix","The Social Dilemma",2020,93
"Netflix","Article 15",2019,92
"Netflix","Dolemite Is My Name",2019,92
"Netflix","Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,92
"Prime Video","Fight Club",1999,93
"Prime Video","Tumbbad",2018,93
"Prime Video","Gully Boy",2019,91
"Prime Video","Chak De! India",2007,90
"Prime Video","Honey Boy",2019,89
"Prime Video","The Report",2019,89
"Prime Video","Alien",1979,88
"Prime Video","Borat Subsequent Moviefilm",2020,88
"Prime Video","Raazi",2018,88
"Prime Video","Beautiful Boy",2018,87
